Titles,Descriptions,Links,Dates,Authors
Why Losing to Meta in Court May Still Be a Win for Regulators,"As the Federal Trade Commission prepares to face off in court against Meta over a V.R. start-up deal, the agency is testing a novel argument as part of a strategy to push antitrust law.",https://www.nytimes.com/2022/12/07/technology/meta-vr-antitrust-ftc.html,"Dec. 7, 2022",DAVID MCCABE
Twitter’s Rivals Try to Capitalize on Musk-Induced Chaos,"New start-ups and other social platforms sense opportunity as Twitter grapples with changes from Elon Musk, its new owner.",https://www.nytimes.com/2022/12/07/technology/twitter-rivals-alternative-platforms.html,"Dec. 7, 2022",KALLEY HUANG
Microsoft to Offer Call of Duty on Nintendo Devices if Activision Deal Closes,"The move appears to be an olive branch to the Federal Trade Commission, which could vote to block the $69 billion acquisition in a closed-door session on Thursday.",https://www.nytimes.com/2022/12/06/technology/microsoft-call-of-duty-nintendo.html,"Dec. 6, 2022",KAREN WEISE and KELLEN BROWNING
Apple Expands Pricing for Apps,"At a time of rising inflation, the company is introducing 600 options that could free developers from the days of charging 99 cents.",https://www.nytimes.com/2022/12/06/technology/apple-apps-prices.html,"Dec. 6, 2022",TRIPP MICKLE
Oversight Board Criticizes Meta for Preferential Treatment,"Influential and powerful users on Facebook and Instagram receive “unequal treatment,” an internal report said.",https://www.nytimes.com/2022/12/06/technology/meta-preferential-treatment.html,"Dec. 6, 2022",ADAM SATARIANO and SHEERA FRENKEL
Computer Science Students Face a Shrinking Big Tech Job Market,A new reality is setting in for students and recent graduates who spent years honing themselves for careers at the largest tech companies.,https://www.nytimes.com/2022/12/06/technology/computer-students-tech-jobs-layoffs.html,"Dec. 6, 2022",NATASHA SINGER and KALLEY HUANG
Inside the Face-Off Between Russia and a Small Internet Access Firm,"The cat-and-mouse experience of Proton, a Swiss company, shows what it’s like to be targeted by Russian censors — and what it takes to fight back.",https://www.nytimes.com/2022/12/06/technology/russia-internet-proton-vpn.html,"Dec. 6, 2022",ADAM SATARIANO and PAUL MOZUR
Are You Applying for Tech Jobs or Internships? We Want to Hear About It.,Layoffs and hiring freezes at companies like Amazon and Meta are changing the job market for recent grads and college students. Tell us about your experiences.,https://www.nytimes.com/2022/12/06/technology/tech-jobs-internships-computer-science.html,"Dec. 6, 2022",NATASHA SINGER
"In Phoenix, a Taiwanese Chip Giant Builds a Hedge Against China","Taiwan Semiconductor Manufacturing Company, the world’s biggest maker of advanced computer chips, unveiled an ambitious factory upgrade in Arizona.",https://www.nytimes.com/2022/12/06/technology/tsmc-chips-factory-phoenix.html,"Dec. 6, 2022",DON CLARK and KELLEN BROWNING
The Brilliance and Weirdness of ChatGPT,"A new chatbot from OpenAI is inspiring awe, fear, stunts and attempts to circumvent its guardrails.",https://www.nytimes.com/2022/12/05/technology/chatgpt-ai-twitter.html,"Dec. 5, 2022",KEVIN ROOSE
